,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,3PA,PPG,RPG,TRB%,APG,SPG,BPG,TOPG
0,Precious Achiuwa,Tor,F,22.51,63,23.6,49.3,18.2,11.5,109,0.587,398,114,8.8,6.9,15.7,1.1,0.51,0.54,1.16
1,Steven Adams,Mem,C,28.67,68,26.5,55.1,12.3,19.7,184,0.543,349,1,7.1,9.9,19.4,3.2,0.82,0.75,1.56
2,Bam Adebayo,Mia,C-F,24.68,47,32.9,68.5,25.2,14.6,276,0.757,622,5,19,10.3,17.6,3.5,1.49,0.83,2.72
3,Santi Aldama,Mem,F-C,21.2,27,10.2,21.4,17,7.8,20,0.6,58,39,3.3,2.4,12,0.5,0.07,0.26,0.33
4,LaMarcus Aldridge,Bro,C-F,36.68,45,22.8,47.6,22.7,7.8,102,0.873,410,45,13.5,5.6,13.4,0.9,0.31,1.02,0.93
5,Nickeil Alexander-Walker,Nor,G,23.55,50,26.3,54.9,24.8,11.2,97,0.722,327,305,12.8,3.3,6.8,2.8,0.82,0.38,1.7
6,Nickeil Alexander-Walker,Uta,G,23.55,10,11.3,23.6,18,12.8,11,0.909,12,24,3.8,2,9.6,1.2,0.3,0.3,0.6
7,Grayson Allen,Mil,G,26.46,60,27.4,57.1,15.5,6,65,0.862,167,365,11.2,3.4,6.4,1.6,0.73,0.25,0.6
8,Jarrett Allen,Cle,C,23.92,56,32.3,67.3,18.1,12.7,233,0.708,535,10,16.1,10.7,18.3,1.6,0.77,1.34,1.68
9,Jose Alvarado,Nor,G,23.95,44,14.7,30.5,18.2,11.7,39,0.718,135,89,5.6,1.8,6.6,2.6,1.25,0.14,0.73
10,Justin Anderson,Cle,F-G,28.34,3,15.5,32.4,11.1,17,4,0.75,2,6,4.3,2,7.1,2,0.33,0,0.67
11,Justin Anderson,Ind,F-G,28.34,5,15.2,31.7,17.3,9.8,6,1,8,17,5.6,2,7.3,1.4,0.4,0.2,0.6
12,Kyle Anderson,Mem,F-G,28.51,59,21.4,44.6,16,11.6,89,0.607,305,92,7.3,5.4,13.2,2.6,1.1,0.63,0.97
13,Giannis Antetokounmpo,Mil,F,27.29,60,32.8,68.4,34.9,12.2,691,0.721,886,222,29.7,11.6,18.6,5.8,1.07,1.38,3.27
14,Thanasis Antetokounmpo,Mil,F,29.68,43,9.1,19.1,14.5,15,32,0.594,88,11,2.8,2.1,12.3,0.4,0.33,0.21,0.47
15,Carmelo Anthony,Lal,F,37.81,63,26.3,54.8,20.3,7.2,152,0.829,289,369,13.5,4.2,8.5,1,0.7,0.79,0.89
16,Cole Anthony,Orl,G,21.85,59,32.5,67.7,25.3,14.1,236,0.856,488,369,16.9,5.5,9,5.7,0.75,0.27,2.68
17,OG Anunoby,Tor,F,24.68,42,36.7,76.4,21,9.8,107,0.748,350,285,17.5,5.5,8.1,2.6,1.55,0.57,1.76
18,Ryan Arcidiacono,Nyk,G,27.99,5,3.2,6.8,8.1,0,0,0,1,2,1.2,0.2,3.3,0,0,0,0
19,Trevor Ariza,Lal,F,36.73,22,18.9,39.3,10.2,10.1,15,0.533,16,66,3.8,3.2,9.1,1,0.5,0.18,0.45
20,D.J. Augustin,Hou,G,34.37,34,15,31.2,16.5,22.8,38,0.868,40,96,5.4,1.2,4.4,2.2,0.29,0,1.32
21,D.J. Augustin,Lal,G,34.37,11,17.1,35.6,12,9.5,1,1,11,36,6.3,1.1,3.4,1.5,0.36,0,0.45
22,Deni Avdija,Was,F,21.22,71,23.4,48.8,15.3,10.9,123,0.764,256,199,7.6,5.1,11.9,1.8,0.76,0.54,0.87
23,Joel Ayayi,Was,G,22.05,7,2.9,6,13.2,0,0,0,5,1,0.3,0.4,8.2,0.6,0,0,0
24,Deandre Ayton,Pho,C,23.67,51,29.3,61,21,10.6,125,0.744,578,16,17,10,18.3,1.4,0.71,0.71,1.51
25,Udoka Azubuike,Uta,C-F,22.51,17,11.5,23.9,14.7,18.2,11,0.545,49,0,4.7,4.2,19.8,0,0.06,0.65,0.71
26,Marvin Bagley III,Sac,F,23.03,30,21.9,45.6,18.8,7.3,47,0.745,184,62,9.3,7.2,17.7,0.6,0.3,0.37,0.7
27,Marvin Bagley III,Det,F,23.03,13,26.5,55.2,21.7,8.6,35,0.486,120,24,13.7,7.1,14.4,1.2,0.69,0.31,1.15
28,LaMelo Ball,Cha,G,20.58,65,32.1,66.9,27.9,14.8,222,0.869,598,473,19.6,6.8,11.1,7.4,1.52,0.46,3.12
29,Lonzo Ball,Chi,G,24.4,35,34.6,72.2,17.3,17.2,28,0.75,123,260,13,5.4,8.8,5.1,1.83,0.89,2.34
30,Mo Bamba,Orl,C,23.86,62,25.8,53.8,16.9,11.5,64,0.797,296,230,10.2,8,16.3,1.1,0.56,1.69,1.16
31,Desmond Bane,Mem,G,23.74,68,30,62.6,23,8.7,138,0.899,511,474,17.9,4.5,7.8,2.7,1.16,0.4,1.47
32,Dalano Banton,Tor,F,22.37,60,11.3,23.5,17,19.3,42,0.595,148,51,3.3,2,9.4,1.6,0.43,0.17,0.87
33,Cat Barber,Atl,G,20,3,4.3,8.9,23.1,14.8,4,0,4,0,0,1,12.8,1,0,0,0.33
34,Harrison Barnes,Sac,F,29.81,68,33.8,70.5,18.9,10.7,385,0.831,425,316,16.8,5.8,9.2,2.5,0.71,0.19,1.6
35,Scottie Barnes,Tor,F,20.64,64,35.8,74.7,19.1,12,186,0.726,654,165,15.4,7.7,11.6,3.4,1.14,0.81,1.92
36,RJ Barrett,Nyk,F-G,21.77,61,34.4,71.7,27.1,9.9,340,0.709,672,352,19.7,5.9,9.1,2.9,0.61,0.26,2.11
37,Will Barton,Den,G,31.21,63,31.7,66,21,11.7,114,0.798,416,377,14.5,4.8,8.5,3.8,0.79,0.46,1.78
38,Charles Bassey,Phi,C-F,21.4,23,7.3,15.2,16.2,13.3,12,0.75,43,4,3,2.7,20.5,0.3,0.22,0.74,0.35
39,Paris Bass,Pho,F,26.57,2,3.7,7.7,51.9,22.5,2,1,4,2,3,2,29,0,0.5,0,1
40,Keita Bates-Diop,San,F,26.16,51,16.1,33.5,14,12.9,48,0.708,167,49,5.3,3.9,12.6,0.7,0.49,0.27,0.69
41,Nicolas Batum,Lac,G-F,33.27,53,24.7,51.4,13.5,8.7,32,0.625,104,249,8.3,4.4,9.2,1.7,0.92,0.72,0.66
42,Kent Bazemore,Lal,G-F,32.73,37,14,29.2,13.3,11.8,17,0.765,58,76,3.6,1.8,6.7,0.9,0.65,0.22,0.51
43,Darius Bazley,Okc,F-G,21.78,67,28.1,58.5,18.2,11.3,163,0.687,373,260,10.9,6.4,11.6,1.4,0.87,1.04,1.34
44,Bradley Beal,Was,G,28.74,40,36,74.9,30.8,13.6,203,0.833,561,210,23.2,4.7,7.2,6.6,0.9,0.38,3.38
45,Malik Beasley,Min,G,25.32,72,25.2,52.5,19.6,4.8,49,0.776,204,586,12.2,2.9,6.2,1.5,0.51,0.14,0.57
46,Jordan Bell,Chi,F,27.21,1,2,4.2,0,,0,0,0,0,0,1,27.9,0,1,0,0
47,DeAndre' Bembry,Bro,G-F,27.72,48,19.8,41.2,11.7,11.6,35,0.6,177,36,5.8,3.2,8.7,1.3,0.98,0.52,0.63
48,DeAndre' Bembry,Mil,G-F,27.72,8,9.6,20.1,5,11.1,0,0,8,0,0.8,1.4,7.5,0.8,0.25,0,0.13
49,Davis Bertans,Was,F,29.36,34,14.7,30.7,17.6,7.1,30,0.933,27,144,5.7,1.8,6.7,0.5,0.32,0.18,0.41
50,Davis Bertans,Dal,F,29.36,14,13.6,28.3,17.9,2.6,6,0.667,12,59,4.6,2.2,9,0.5,0.21,0.21,0.14
51,Patrick Beverley,Min,G,33.69,51,25.6,53.3,16.3,13.4,112,0.705,170,221,9.3,4.2,8.8,4.7,1.14,0.94,1.33
52,Saddiq Bey,Det,F,22.95,72,33.9,70.5,21.2,7.5,230,0.822,474,539,16.5,5.8,9.2,2.9,0.88,0.22,1.25
53,Khem Birch,Tor,C,29.48,46,18.7,38.9,11.3,10.1,68,0.765,163,11,4.7,4.6,13.2,1.1,0.59,0.5,0.5
54,Goga Bitadze,Ind,C-F,22.67,44,12.9,26.8,20,13.6,69,0.623,134,64,6,3.3,14,1,0.39,0.73,0.82
55,Bismack Biyombo,Pho,C,29.57,28,13.9,28.9,17.5,13.4,57,0.544,111,0,5.9,4.5,17.4,0.6,0.39,0.71,0.75
56,Nemanja Bjelica,Gol,F,33.87,63,15.7,32.7,17.9,18,70,0.686,170,132,5.8,4,13.8,2.1,0.57,0.37,1.16
57,Eric Bledsoe,Lac,G,32.29,54,25.2,52.5,20.6,18.3,117,0.761,305,163,9.9,3.4,7,4.2,1.28,0.35,2.15
58,Keljin Blevins,Por,G,26.33,20,8.3,17.3,15.1,15.6,6,0.5,16,30,2.5,0.8,5.3,0.7,0.1,0.05,0.45
59,Bojan Bogdanovic,Uta,F,32.93,64,30.9,64.4,23.6,10.2,231,0.87,427,434,18.1,4.3,7.5,1.7,0.42,0.02,1.7
60,Bogdan Bogdanovic,Atl,G,29.59,54,29.6,61.7,21.1,8,94,0.862,282,385,14.7,4,7.3,3.2,1.06,0.24,1.15
61,Bol Bol,Den,C-F,22.35,13,6.2,12.9,17.6,12.4,3,0.667,23,4,2.5,1.5,13.8,0.4,0.08,0.15,0.31
62,Leandro Bolmaro,Min,F,21.53,30,7,14.6,11.7,22,9,0.889,25,17,1.2,1.2,9.3,0.5,0.2,0,0.43
63,Isaac Bonga,Tor,G,22.37,15,4.6,9.5,11.5,10.8,8,0.625,9,4,0.8,0.5,5.5,0.3,0.53,0.13,0.13
64,Devin Booker,Pho,G,25.39,61,34.3,71.5,31.9,9.7,298,0.872,826,436,25.9,5.1,8,4.9,1.18,0.41,2.46
65,Brandon Boston Jr.,Lac,G,20.32,50,14.4,30.1,22.5,8.1,68,0.838,201,109,6.5,2.1,7.5,0.9,0.5,0.24,0.6
66,Chris Boucher,Tor,F-C,29.2,70,20.8,43.3,17.6,6.5,167,0.772,296,192,9.2,6.1,16,0.3,0.61,0.97,0.56
67,James Bouknight,Cha,G,21.51,28,10.6,22,23.3,8,31,0.871,87,49,5,1.7,8.5,0.8,0.25,0.04,0.46
68,Avery Bradley,Lal,G,31.32,58,22.6,47.1,12.4,9.8,18,0.889,133,200,6.4,2.2,5.3,0.8,0.86,0.16,0.64
69,Tony Bradley,Chi,C-F,24.2,50,10.4,21.7,12.8,19.7,25,0.68,111,0,2.9,3.5,18.6,0.5,0.22,0.64,0.6
70,Ignas Brazdeikis,Orl,F,23.2,34,9.4,19.7,16.1,8.4,17,0.765,56,46,3.3,1.3,7.1,0.7,0.24,0.06,0.29
71,Miles Bridges,Cha,F,24.01,70,35.9,74.9,22.3,10.3,290,0.81,653,407,20,7,10.2,3.8,0.97,0.89,1.94
72,Mikal Bridges,Pho,F,25.56,72,35.3,73.6,14.8,6.5,132,0.841,476,282,14.1,4.3,6.6,2.3,1.21,0.46,0.79
